,city,state,country,latitude,longitude,population,msa,new_label
75,elsloo,limburg,netherlands,50.94917,5.77083,7220.0,,maastricht-heerlen MSA
76,assendelft,noord holland,netherlands,52.4667,4.75,8335.0,,zaanstad-alkmaar MSA
77,rozenburg,south holland,netherlands,51.90417,4.24861,12420.0,,the hague MSA
78,harlingen,friesland,netherlands,53.17477,5.42244,16119.0,Brownsville-Harlingen TX MSA,harlingen MSA
79,neede,gelderland,netherlands,52.13417,6.61389,7730.0,,boekelo MSA
80,borculo,gelderland,netherlands,52.11583,6.52222,10373.0,,boekelo MSA
81,puttershoek,zuid holland,netherlands,51.8044,4.5681,5688.0,,etten leur-barendrecht MSA
82,halsteren,north brabant,netherlands,51.52834,4.26785,9850.0,,bergen op zoom MSA
83,boekel,north brabant,netherlands,51.60333,5.675,5480.0,,uden-boxtel-best MSA
84,wijk bij duurstede,utrecht,netherlands,51.97417,5.34167,17465.0,,utrecht MSA
85,zelhem,gelderland,netherlands,52.00667,6.34861,5760.0,,doetinchem-winterswijk MSA
86,hendrik ido ambacht,south holland,netherlands,51.84417,4.63889,21027.0,,dordrecht MSA
87,raalte,overijssel,netherlands,52.38583,6.275,20015.0,,dalfsen MSA
88,vaassen,gelderland,netherlands,52.28583,5.96667,12719.0,,zwolle MSA
89,oud gastel,north brabant,netherlands,51.58667,4.45972,5305.0,,etten leur-barendrecht MSA
90,anna paulowna,noord holland,netherlands,52.85,4.8167,7380.0,,den helder MSA
91,terheijden,north brabant,netherlands,51.64333,4.75417,5910.0,,breda MSA
92,velsen zuid,north holland,netherlands,52.46,4.65,67758.0,,haarlem MSA
93,zaandijk,north holland,netherlands,52.47494,4.80686,9040.0,,zaanstad-alkmaar MSA
94,reeuwijk,south holland,netherlands,52.04667,4.725,12817.0,,leiden-gouda MSA
95,grou,friesland,netherlands,53.09456,5.83745,5535.0,,heerenveen-sneek MSA
96,blaricum,north holland,netherlands,52.2725,5.24167,5060.0,,amsterdam MSA
97,panningen,limburg,netherlands,51.32667,5.97917,6710.0,,venlo MSA
98,rhenen,utrecht,netherlands,51.95917,5.56806,18061.0,,ede MSA
99,kapelle,zeeland,netherlands,51.48627,3.95804,8670.0,,goes-terneuzen MSA
100,montfoort,utrecht,netherlands,52.04583,4.95278,5500.0,,leiden-gouda MSA
101,steenbergen,north brabant,netherlands,51.58417,4.31944,23582.0,,bergen op zoom MSA
102,gendt,gelderland,netherlands,51.8775,5.97083,5590.0,,nijmegen MSA
103,prinsenbeek,north brabant,netherlands,51.59833,4.7125,10720.0,,breda MSA
104,woudenberg,utrecht,netherlands,52.08083,5.41667,11305.0,,utrecht MSA
105,grubbenvorst,limburg,netherlands,51.4189,6.1431,6960.0,,venlo MSA
106,heiloo,north holland,netherlands,52.60252,4.68815,20510.0,,zaanstad-alkmaar MSA
107,heeze,north brabant,netherlands,51.3828,5.57145,9110.0,,eindhoven MSA
108,tubbergen,overijssel,netherlands,52.4075,6.78472,20334.0,,enschede MSA
109,lemmer,friesland,netherlands,52.84618,5.70912,10050.0,,heerenveen-sneek MSA
110,wognum,noord holland,netherlands,52.6819,5.0228,8006.0,,zaanstad-alkmaar MSA
111,schoorl,noord holland,netherlands,52.7014,4.6944,6586.0,,den helder MSA
112,reuver,limburg,netherlands,51.28417,6.07778,6140.0,,venlo MSA
113,doorn,utrecht,netherlands,52.03343,5.34571,10330.0,,utrecht MSA
114,lent,gelderland,netherlands,51.86167,5.86667,9160.0,,nijmegen MSA
115,langedijk,noord holland,netherlands,52.6936,4.7944,27992.0,,zaanstad-alkmaar MSA
116,venhuizen,noord holland,netherlands,52.6624,5.2,7828.0,,medemblik MSA
117,belfeld,limburg,netherlands,51.31,6.1144,5449.0,,venlo MSA
118,obdam,north holland,netherlands,52.67583,4.90694,5690.0,,zaanstad-alkmaar MSA
119,yerseke,zeeland,netherlands,51.4925,4.05,6541.0,,goes-terneuzen MSA
120,opheusden,gelderland,netherlands,51.93167,5.63194,5460.0,,ede MSA
121,berghem,north brabant,netherlands,51.76991,5.56827,6500.0,,s hertogenbosch-oss MSA
122,geertruidenberg,north brabant,netherlands,51.70167,4.85694,20941.0,,breda MSA
123,stiens,friesland,netherlands,53.26234,5.75769,7300.0,,leeuwarden MSA
124,kollum,friesland,netherlands,53.27695,6.15293,5230.0,,dokkum MSA
125,wijhe,overijssel,netherlands,52.38667,6.13472,5640.0,,zwolle MSA
126,bloemendaal,south holland,netherlands,52.02878,4.6944,9900.0,,leiden-gouda MSA
127,bunnik,utrecht,netherlands,52.06667,5.19861,6315.0,,utrecht MSA
128,renkum,gelderland,netherlands,51.97667,5.73333,9421.0,,ede MSA
129,helden,limburg,netherlands,51.31917,6.0,5530.0,,venlo MSA
130,naaldwijk,south holland,netherlands,51.99417,4.20972,17753.0,,the hague MSA
131,budel,north brabant,netherlands,51.27167,5.575,7895.0,,eindhoven MSA
132,kerkrade,limburg,netherlands,50.86583,6.0625,49777.0,,maastricht-heerlen MSA
133,katwijk aan zee,south holland,netherlands,52.20333,4.39861,20010.0,,haarlem MSA
134,delden,overijssel,netherlands,52.26,6.71111,6920.0,,enschede MSA
135,gorredijk,friesland,netherlands,53.00659,6.06402,7040.0,,drachten MSA
136,ruurlo,gelderland,netherlands,52.08833,6.45,5940.0,,boekelo MSA
137,bodegraven,south holland,netherlands,52.0825,4.75,19395.0,,leiden-gouda MSA
138,surhuisterveen,friesland,netherlands,53.18477,6.17031,5550.0,,dokkum MSA
139,vlissingen,zeeland,netherlands,51.4425,3.57361,45273.0,,middelburg MSA
140,vaals,limburg,netherlands,50.77083,6.01806,6970.0,,maastricht-heerlen MSA
141,waspik,north brabant,netherlands,51.68667,4.94444,5120.0,,drunen MSA
142,alblasserdam,south holland,netherlands,51.86583,4.66111,18348.0,,dordrecht MSA
143,hillegom,south holland,netherlands,52.29083,4.58333,18419.0,,haarlem MSA
144,goes,zeeland,netherlands,51.50417,3.88889,36931.0,,goes-terneuzen MSA
145,medemblik,north holland,netherlands,52.77167,5.10556,41500.0,,medemblik MSA
146,eersel,north brabant,netherlands,51.3575,5.31806,18185.0,,eindhoven MSA
147,hoogland,utrecht,netherlands,52.1825,5.37361,10587.0,,utrecht MSA
