,city,state,country,latitude,longitude,population,msa,new_label
9037,ludres,grand est,france,48.62032,6.16747,6974.0,,nancy MSA
9038,corte,corsica,france,42.30956,9.14917,7217.0,,bastia MSA
9039,denain,hauts de france,france,50.3293,3.3943,21412.0,,lille MSA
9040,la grande motte,occitanie,france,43.56076,4.08482,7335.0,,nimes MSA
9041,calvi,corsica,france,42.56604,8.75713,5477.0,,bastia MSA
9042,herblay,ile de france,france,48.98994,2.1699,25153.0,,cergy pontoise MSA
9043,brie comte robert,ile de france,france,48.69247,2.6109,15892.0,,saint denis MSA
9044,avion,hauts de france,france,50.41038,2.83053,18470.0,,lille MSA
9045,ingre,centre,france,47.91995,1.82778,8001.0,,orleans MSA
9046,colombelles,normandy,france,49.2049,-0.29571,6493.0,,caen MSA
9047,mondeville,normandy,france,49.17497,-0.32238,11582.0,,caen MSA
9048,saint pierre du perray,ile de france,france,48.61064,2.49429,6140.0,,saint denis MSA
9049,saint renan,brittany,france,48.43114,-4.62168,7231.0,,brest MSA
9050,claix,auvergne rhone alpes,france,45.11994,5.67292,8127.0,,grenoble MSA
9051,chatenoy le royal,bourgogne franche comte,france,46.79797,4.8119,6058.0,,chalon sur saone MSA
9052,savigny le temple,ile de france,france,48.57409,2.58287,25925.0,,saint denis MSA
9053,saint martin le vinoux,auvergne rhone alpes,france,45.20297,5.7163,5589.0,,grenoble MSA
9054,villeneuve loubet,provence alpes cote d azur,france,43.6579,7.12233,14354.0,,nice MSA
9055,nuits saint georges,bourgogne franche comte,france,47.13683,4.949,5300.0,,dijon-besancon MSA
9056,saint gilles,occitanie,france,43.67656,4.43024,13231.0,,nimes MSA
9057,altkirch,grand est,france,47.62417,7.23954,5564.0,,mulhouse MSA
9058,saint mandrier sur mer,provence alpes cote d azur,france,43.078,5.929,6987.0,,toulon MSA
9059,gerardmer,grand est,france,48.07346,6.87787,10084.0,,strasbourg MSA
9060,urrugne,nouvelle aquitaine,france,43.36243,-1.70019,7580.0,,bayonne MSA
9061,le cannet,provence alpes cote d azur,france,43.57662,7.01912,43353.0,,nice MSA
9062,noyelles sous lens,hauts de france,france,50.43084,2.87221,7467.0,,lille MSA
9063,gauchy,hauts de france,france,49.82765,3.27371,5676.0,,saint quentin-creil MSA
9064,ernee,pays de la loire,france,48.29722,-0.93263,6127.0,,laval MSA
9065,geispolsheim,grand est,france,48.51603,7.64825,7410.0,,strasbourg MSA
9066,saint jean d illac,nouvelle aquitaine,france,44.80978,-0.78394,6826.0,,bordeaux MSA
9067,saint leu la foret,ile de france,france,49.01667,2.25,16075.0,,cergy pontoise MSA
9068,saint prix,ile de france,france,49.01667,2.26667,7226.0,,cergy pontoise MSA
9069,yssingeaux,auvergne rhone alpes,france,45.14282,4.12372,7286.0,,valence MSA
9070,saint macaire en mauges,pays de la loire,france,47.12375,-0.9916,6033.0,,cholet MSA
9071,saint jerome,provence alpes cote d azur,france,43.33404,5.41733,10087.0,,marseille MSA
9072,saint vallier,bourgogne franche comte,france,46.64107,4.37107,9670.0,,chalon sur saone MSA
9073,eguilles,provence alpes cote d azur,france,43.56867,5.35575,7480.0,,marseille MSA
9074,le petit quevilly,normandy,france,49.41338,1.06155,22691.0,,rouen MSA
9075,hendaye,nouvelle aquitaine,france,43.35809,-1.7744,14415.0,,bayonne MSA
9076,vendenheim,grand est,france,48.66948,7.70983,5757.0,,strasbourg MSA
9077,la tronche,auvergne rhone alpes,france,45.20507,5.74629,7125.0,,grenoble MSA
9078,valreas,provence alpes cote d azur,france,44.3849,4.99125,10211.0,,avignon MSA
9079,sully sur loire,centre,france,47.76372,2.37238,6285.0,,orleans MSA
9080,brignais,auvergne rhone alpes,france,45.67383,4.75418,12427.0,,lyon MSA
9081,auriol,provence alpes cote d azur,france,43.37161,5.6341,9872.0,,marseille MSA
9082,egly,ile de france,france,48.57828,2.22417,5259.0,,saint quentin en yvelines MSA
9083,epernon,centre,france,48.61031,1.67218,5266.0,,saint quentin en yvelines MSA
9084,le luc,provence alpes cote d azur,france,43.39453,6.31253,7953.0,,toulon MSA
9085,la queue en brie,ile de france,france,48.7852,2.58112,11826.0,,saint denis MSA
9086,le mesnil esnard,normandy,france,49.41319,1.14521,6380.0,,rouen MSA
9087,limours,ile de france,france,48.64625,2.07688,6414.0,,saint quentin en yvelines MSA
9088,tinqueux,grand est,france,49.25,3.98333,10197.0,,reims MSA
9089,launaguet,occitanie,france,43.67818,1.45603,5699.0,,toulouse MSA
9090,montlhery,ile de france,france,48.64004,2.27465,6351.0,,saint denis MSA
9091,bonchamp les laval,pays de la loire,france,48.07379,-0.70195,5094.0,,laval MSA
9092,bois le roi,ile de france,france,48.47348,2.70464,5903.0,,saint denis MSA
9093,bormes les mimosas,provence alpes cote d azur,france,43.15169,6.3422,6857.0,,toulon MSA
9094,argentan,normandy,france,48.74441,-0.02023,18230.0,,caen MSA
9095,saint laurent blangy,hauts de france,france,50.29446,2.80698,5713.0,,lille MSA
9096,jurancon,nouvelle aquitaine,france,43.2883,-0.38694,7041.0,,pau MSA
9097,escalquens,occitanie,france,43.51835,1.56093,6162.0,,toulouse MSA
9098,vaureal,ile de france,france,49.03333,2.03333,20699.0,,cergy pontoise MSA
9099,magnanville,ile de france,france,48.96798,1.67842,5539.0,,saint quentin en yvelines MSA
9100,corbie,hauts de france,france,49.90672,2.50682,6486.0,,amiens MSA
9101,belleville,auvergne rhone alpes,france,46.10867,4.7492,6299.0,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,lyon MSA
9102,verneuil sur avre,normandy,france,48.73949,0.92731,7229.0,,saint quentin en yvelines MSA
9103,aulnoye aymeries,hauts de france,france,50.20141,3.83844,9242.0,,charleville mezieres-maubeuge MSA
9104,chateauneuf sur loire,centre,france,47.86575,2.21903,7446.0,,orleans MSA
9105,languidic,brittany,france,47.83358,-3.15811,7000.0,,lorient MSA
9106,saint junien,nouvelle aquitaine,france,45.88746,0.90158,11553.0,,limoges MSA
9107,plabennec,brittany,france,48.50234,-4.42615,7585.0,,brest MSA
9108,saint remy de provence,provence alpes cote d azur,france,43.78848,4.83167,10562.0,,nimes MSA
9109,auchel,hauts de france,france,50.50345,2.47346,11419.0,,lille MSA
9110,saint pierre les nemours,ile de france,france,48.26733,2.67966,6435.0,,saint denis MSA
9111,magny en vexin,ile de france,france,49.15515,1.78669,5444.0,,cergy pontoise MSA
9112,oignies,hauts de france,france,50.46331,2.99376,10609.0,,lille MSA
9113,amberieu en bugey,auvergne rhone alpes,france,45.95932,5.3516,13260.0,,lyon MSA
9114,cebazat,auvergne rhone alpes,france,45.8314,3.09992,8114.0,,clermont ferrand MSA
9115,comines,hauts de france,france,50.7615,3.01063,12548.0,,lille MSA
9116,luisant,centre,france,48.4295,1.47383,7049.0,,saint quentin en yvelines MSA
9117,feignies,hauts de france,france,50.29806,3.91534,7370.0,,charleville mezieres-maubeuge MSA
9118,privas,auvergne rhone alpes,france,44.735,4.59918,9545.0,,valence MSA
9119,saint jean de la ruelle,centre,france,47.91127,1.86483,17522.0,,orleans MSA
9120,saint philbert de grand lieu,pays de la loire,france,47.03573,-1.64088,6757.0,,nantes MSA
9121,montigny les metz,grand est,france,49.0956,6.15271,26369.0,,metz MSA
9122,notre dame de gravenchon,normandy,france,49.4894,0.57188,8839.0,,rouen MSA
9123,chateaurenard,provence alpes cote d azur,france,43.88169,4.85493,14205.0,,avignon MSA
9124,l union,occitanie,france,43.66042,1.48264,12139.0,,toulouse MSA
9125,billere,nouvelle aquitaine,france,43.30264,-0.39733,14914.0,,pau MSA
9126,boussy saint antoine,ile de france,france,48.69101,2.5306,6786.0,,saint denis MSA
9127,marsannay la cote,bourgogne franche comte,france,47.27095,4.98895,5181.0,,dijon-besancon MSA
9128,reims,grand est,france,49.26526,4.02853,196565.0,,reims MSA
9129,jeumont,hauts de france,france,50.29658,4.10108,10964.0,,charleville mezieres-maubeuge MSA
9130,ivry sur seine,ile de france,france,48.81568,2.38487,57897.0,,saint denis MSA
9131,aulnay sous bois,ile de france,france,48.93814,2.49402,80615.0,,saint denis MSA
9132,la courneuve,ile de france,france,48.92805,2.39627,37287.0,,saint denis MSA
9133,evreux,normandy,france,49.02414,1.15082,57795.0,,rouen MSA
9134,cleon,normandy,france,49.31235,1.0295,6164.0,,rouen MSA
9135,marcoussis,ile de france,france,48.64026,2.23858,7756.0,,saint denis MSA
9136,clichy,ile de france,france,48.90018,2.30952,57467.0,,cergy pontoise MSA
9137,sceaux,ile de france,france,48.77644,2.29026,21511.0,,saint denis MSA
9138,valence,auvergne rhone alpes,france,44.9256,4.90956,63864.0,,valence MSA
9139,granville,normandie,france,48.8381,-1.5869,12567.0,,saint lo MSA
9140,meudon,ile de france,france,48.81381,2.235,44652.0,,cergy pontoise MSA
9141,boulogne sur mer,hauts de france,france,50.72571,1.61392,47013.0,,calais MSA
9142,brive la gaillarde,nouvelle aquitaine,france,45.1589,1.53326,53466.0,,brive la gaillarde-aurillac MSA
9143,aubagne,provence alpes cote d azur,france,43.29276,5.57067,44844.0,,toulon MSA
9144,noisiel,ile de france,france,48.84868,2.62435,15362.0,,saint denis MSA
9145,longjumeau,ile de france,france,48.69503,2.30735,20771.0,,saint denis MSA
9146,dreux,centre,france,48.73649,1.36566,31058.0,,saint quentin en yvelines MSA
9147,belfort,bourgogne franche comte,france,47.64218,6.85385,54562.0,,mulhouse MSA
9148,sedan,grand est,france,49.70187,4.94028,20620.0,,charleville mezieres-maubeuge MSA
9149,fresnes,ile de france,france,48.75568,2.32241,24803.0,,saint denis MSA
9150,chatillon,ile de france,france,48.8024,2.29346,32383.0,,saint denis MSA
9151,gennevilliers,ile de france,france,48.93333,2.3,42294.0,,cergy pontoise MSA
9152,sarzeau,brittany,france,47.52746,-2.76996,7116.0,,lorient MSA
9153,le bourget,ile de france,france,48.93405,2.43584,12690.0,,saint denis MSA
9154,dunkerque,hauts de france,france,51.0344,2.37681,71287.0,,calais MSA
9155,maule,ile de france,france,48.91056,1.85264,6272.0,,cergy pontoise MSA
9156,nimes,occitanie,france,43.83665,4.35788,148236.0,,nimes MSA
9157,albi,occitanie,france,43.9298,2.148,52409.0,,albi MSA
9158,beaune,bourgogne franche comte,france,47.02413,4.83887,24162.0,,chalon sur saone MSA
9159,vincennes,ile de france,france,48.8486,2.43769,45923.0,,saint denis MSA
9160,haguenau,grand est,france,48.81557,7.79051,38721.0,,haguenau MSA
9161,vannes,brittany,france,47.65688,-2.76205,54020.0,,lorient MSA
9162,saint sebastien sur loire,pays de la loire,france,47.20768,-1.50332,29238.0,,nantes MSA
9163,dourges,hauts de france,france,50.43636,2.98589,5761.0,,lille MSA
9164,six fours les plages,provence alpes cote d azur,france,43.09174,5.82465,34779.0,,toulon MSA
9165,chalons en champagne,grand est,france,48.95393,4.36724,51257.0,,reims MSA
9166,creteil,ile de france,france,48.79266,2.46569,84833.0,,saint denis MSA
9167,houilles,ile de france,france,48.92161,2.19263,31121.0,,cergy pontoise MSA
9168,pau,nouvelle aquitaine,france,43.31117,-0.35583,82697.0,,pau MSA
9169,argenteuil,ile de france,france,48.94788,2.24744,101475.0,,cergy pontoise MSA
9170,aubervilliers,ile de france,france,48.91667,2.38333,70914.0,,saint denis MSA
9171,vertou,pays de la loire,france,47.16878,-1.4729,22921.0,,nantes MSA
9172,charenton le pont,ile de france,france,48.82209,2.41217,30910.0,,saint denis MSA
9173,sevran,ile de france,france,48.94472,2.52746,47334.0,,saint denis MSA
9174,asnieres sur seine,ile de france,france,48.91667,2.28333,86742.0,,cergy pontoise MSA
9175,molsheim,grand est,france,48.54042,7.49199,9953.0,,strasbourg MSA
9176,loon plage,hauts de france,france,50.99647,2.2177,6640.0,,calais MSA
9177,mundolsheim,grand est,france,48.64215,7.71378,5572.0,,strasbourg MSA
9178,athis mons,ile de france,france,48.70522,2.39147,31225.0,,saint denis MSA
9179,rueil malmaison,ile de france,france,48.8765,2.18967,76616.0,,cergy pontoise MSA
9180,vanves,ile de france,france,48.82345,2.29025,26068.0,,saint denis MSA
9181,noisy le sec,ile de france,france,48.89148,2.46451,38955.0,,saint denis MSA
9182,rochefort,nouvelle aquitaine,france,45.94304,-0.96774,29427.0,,la rochelle MSA
9183,douai,hauts de france,france,50.37069,3.07922,46531.0,,lille MSA
9184,gardanne,provence alpes cote d azur,france,43.45491,5.46913,21140.0,,marseille MSA
9185,les andelys,normandy,france,49.24557,1.41168,9655.0,,rouen MSA
9186,le haillan,nouvelle aquitaine,france,44.87161,-0.67691,8880.0,,bordeaux MSA
9187,obernai,grand est,france,48.46313,7.481,12138.0,,strasbourg MSA
9188,seyssinet pariset,auvergne rhone alpes,france,45.17675,5.69387,13473.0,,grenoble MSA
9189,massy,ile de france,france,48.72692,2.28301,38768.0,,saint denis MSA
9190,vienne,auvergne rhone alpes,france,45.52569,4.87484,32293.0,,lyon MSA
9191,lens,hauts de france,france,50.43302,2.82791,38265.0,,lille MSA
9192,saint quentin,hauts de france,france,49.84889,3.28757,55407.0,,saint quentin-creil MSA
9193,beausoleil,provence alpes cote d azur,france,43.74311,7.4225,13376.0,,nice MSA
9194,meylan,auvergne rhone alpes,france,45.20978,5.77762,20267.0,,grenoble MSA
9195,sartrouville,ile de france,france,48.9482,2.19169,53980.0,,cergy pontoise MSA
9196,saint laurent du var,provence alpes cote d azur,france,43.67323,7.19,29516.0,,nice MSA
9197,noisy le grand,ile de france,france,48.84979,2.56266,62420.0,,saint denis MSA
9198,vitry sur seine,ile de france,france,48.78716,2.40332,81001.0,,saint denis MSA
9199,tarare,auvergne rhone alpes,france,45.89614,4.433,10806.0,,roanne MSA
9200,gisors,normandy,france,49.28178,1.7801,12363.0,,cergy pontoise MSA
9201,quimper,brittany,france,47.99597,-4.09795,63849.0,,brest MSA
9202,haubourdin,hauts de france,france,50.60826,2.99143,15694.0,,lille MSA
9203,lannemezan,occitanie,france,43.12517,0.38401,6606.0,,tarbes MSA
9204,montrouge,ile de france,france,48.8162,2.31393,38708.0,,saint denis MSA
9205,marmande,nouvelle aquitaine,france,44.50361,0.16546,19069.0,,agen MSA
9206,lorient,brittany,france,47.74817,-3.37177,58112.0,,lorient MSA
9207,ozoir la ferriere,ile de france,france,48.76699,2.66871,22530.0,,saint denis MSA
9208,pessac,nouvelle aquitaine,france,44.80565,-0.6324,57944.0,,bordeaux MSA
9209,saint louis,provence alpes cote d azur,france,43.34809,5.35463,9188.0,St. Louis MO-IL MSA,marseille MSA
9210,saint die des vosges,grand est,france,48.28429,6.94921,24628.0,,strasbourg MSA
9211,bondues,hauts de france,france,50.70196,3.09497,11285.0,,lille MSA
9212,villers les nancy,grand est,france,48.67333,6.15283,15899.0,,nancy MSA
9213,mouans sartoux,provence alpes cote d azur,france,43.62101,6.97139,9330.0,,nice MSA
9214,le plessis robinson,ile de france,france,48.78889,2.27078,22510.0,,saint denis MSA
9215,hyeres,provence alpes cote d azur,france,43.12038,6.12857,50487.0,,toulon MSA
9216,evry,ile de france,france,48.6328,2.44049,51900.0,,saint denis MSA
9217,saint gely du fesc,occitanie,france,43.69293,3.8058,8605.0,,montpellier MSA
9218,compiegne,hauts de france,france,49.41794,2.82606,44243.0,,saint quentin-creil MSA
9219,carentan,normandy,france,49.30312,-1.24806,6950.0,,saint lo MSA
9220,colmar,grand est,france,48.08078,7.35584,65405.0,,strasbourg MSA
9221,maisons alfort,ile de france,france,48.81171,2.43945,53964.0,,saint denis MSA
9222,montceau les mines,bourgogne franche comte,france,46.66667,4.36667,20221.0,,chalon sur saone MSA
9223,arnage,pays de la loire,france,47.92619,0.18726,5991.0,,le mans MSA
9224,montbeliard,bourgogne franche comte,france,47.50957,6.79823,28865.0,,mulhouse MSA
9225,carrieres sous poissy,ile de france,france,48.94952,2.04068,15465.0,,cergy pontoise MSA
9226,lisieux,normandy,france,49.1466,0.22925,24473.0,,rouen MSA
9227,rodez,occitanie,france,44.35258,2.57338,28337.0,,albi MSA
9228,bourg les valence,auvergne rhone alpes,france,44.94703,4.89463,19770.0,,valence MSA
9229,orange,provence alpes cote d azur,france,44.13806,4.81025,30530.0,,avignon MSA
9230,le mans,pays de la loire,france,48.0021,0.20251,144515.0,,le mans MSA
9231,ancenis,pays de la loire,france,47.36667,-1.16667,7840.0,,angers MSA
9232,choisy le roi,ile de france,france,48.76846,2.41874,35590.0,,saint denis MSA
9233,bordeaux,nouvelle aquitaine,france,44.84044,-0.5805,231844.0,,bordeaux MSA
9234,angers,pays de la loire,france,47.47156,-0.55202,168279.0,,angers MSA
9235,metz,grand est,france,49.11911,6.17269,123914.0,,metz MSA
9236,saint herblain,pays de la loire,france,47.21154,-1.651,46898.0,,nantes MSA
9237,saint michel sur orge,ile de france,france,48.63479,2.30831,20824.0,,saint denis MSA
9238,toulon,provence alpes cote d azur,france,43.12442,5.92836,168701.0,,toulon MSA
9239,pierre benite,auvergne rhone alpes,france,45.70359,4.82424,9971.0,,lyon MSA
9240,annemasse,auvergne rhone alpes,france,46.19439,6.23775,28275.0,,annecy MSA
9241,wasquehal,hauts de france,france,50.67043,3.13382,19320.0,,lille MSA
9242,annecy,auvergne rhone alpes,france,45.90878,6.12565,49232.0,,annecy MSA
9243,versailles,ile de france,france,48.80359,2.13424,85416.0,,cergy pontoise MSA
9244,alencon,normandy,france,48.43476,0.09311,30786.0,,le mans MSA
9245,cannes,provence alpes cote d azur,france,43.55135,7.01275,70011.0,,nice MSA
9246,troyes,grand est,france,48.30073,4.08524,60785.0,,troyes MSA
9247,roubaix,hauts de france,france,50.69421,3.17456,95721.0,,lille MSA
9248,poitiers,nouvelle aquitaine,france,46.58261,0.34348,85960.0,,poitiers MSA
9249,halluin,hauts de france,france,50.78628,3.12611,20171.0,,lille MSA
9250,rouen,normandie,france,49.4428,1.0886,494382.0,,rouen MSA
9251,castelsarrasin,occitanie,france,44.04042,1.10666,13260.0,,toulouse MSA
9252,grenoble,auvergne rhone alpes,france,45.17869,5.71479,158552.0,,grenoble MSA
9253,calais,hauts de france,france,50.95194,1.85635,74433.0,,calais MSA
9254,mably,auvergne rhone alpes,france,46.06484,4.06014,7830.0,,roanne MSA
9255,puteaux,ile de france,france,48.88341,2.23894,40646.0,,cergy pontoise MSA
9256,saint germain en laye,ile de france,france,48.89643,2.0904,41142.0,,cergy pontoise MSA
9257,antony,ile de france,france,48.75329,2.29668,59845.0,,saint denis MSA
9258,nancy,grand est,france,48.68439,6.18496,105334.0,,nancy MSA
9259,montreuil,ile de france,france,48.86415,2.44322,90652.0,,saint denis MSA
9260,le chesnay,ile de france,france,48.8222,2.12213,29154.0,,cergy pontoise MSA
9261,lognes,ile de france,france,48.83541,2.62998,15519.0,,saint denis MSA
9262,lyon,auvergne rhone alpes,france,45.74846,4.84671,472317.0,,lyon MSA
9263,saint lo,normandy,france,49.11624,-1.09031,21722.0,,saint lo MSA
9264,colomiers,occitanie,france,43.61058,1.33467,31363.0,,toulouse MSA
9265,ecully,auvergne rhone alpes,france,45.77437,4.77758,19437.0,,lyon MSA
9266,clermont ferrand,auvergne rhone alpes,france,45.77969,3.08682,138681.0,,clermont ferrand MSA
9267,le havre,normandy,france,49.4938,0.10767,185972.0,,rouen MSA
9268,nice,provence alpes cote d azur,france,43.70313,7.26608,338620.0,,nice MSA
9269,arcueil,ile de france,france,48.79993,2.33256,17308.0,,saint denis MSA
9270,saint denis,ile de france,france,48.93564,2.35387,96128.0,,saint denis MSA
9271,champigny sur marne,ile de france,france,48.81642,2.49366,76726.0,,saint denis MSA
9272,orvault,pays de la loire,france,47.27117,-1.62361,25338.0,,nantes MSA
9273,libourne,nouvelle aquitaine,france,44.91449,-0.24186,24240.0,,bordeaux MSA
9274,croix,hauts de france,france,50.67846,3.1493,21361.0,,lille MSA
9275,aix en provence,provence alpes cote d azur,france,43.5283,5.44973,146821.0,,marseille MSA
9276,la rochelle,nouvelle aquitaine,france,46.16308,-1.15222,76810.0,,la rochelle MSA
9277,strasbourg,grand est,france,48.58392,7.74553,274845.0,,strasbourg MSA
9278,saint genis les ollieres,auvergne rhone alpes,france,45.7571,4.72625,5029.0,,lyon MSA
9279,levallois perret,ile de france,france,48.89389,2.28864,62178.0,,cergy pontoise MSA
9280,pontoise,ile de france,france,49.05,2.1,30290.0,,cergy pontoise MSA
9281,gravelines,hauts de france,france,50.98651,2.12807,13137.0,,calais MSA
9282,tours,centre,france,47.39484,0.70398,141621.0,,tours MSA
9283,saint fargeau ponthierry,ile de france,france,48.55713,2.5284,12097.0,,saint denis MSA
9284,bar le duc,grand est,france,48.77275,5.16108,18595.0,,metz MSA
9285,cergy,ile de france,france,49.03645,2.07613,57576.0,,cergy pontoise MSA
9286,saverne,grand est,france,48.74164,7.36221,12439.0,,haguenau MSA
9287,tonneins,nouvelle aquitaine,france,44.39476,0.31014,9823.0,,agen MSA
9288,arras,hauts de france,france,50.29301,2.78186,47052.0,,lille MSA
9289,villeurbanne,auvergne rhone alpes,france,45.76601,4.8795,131445.0,,lyon MSA
9290,issy les moulineaux,ile de france,france,48.82104,2.27718,61447.0,,saint denis MSA
9291,rouen,normandy,france,49.44313,1.09932,112787.0,,rouen MSA
9292,villepinte,ile de france,france,48.96203,2.53253,37114.0,,saint denis MSA
9293,agen,nouvelle aquitaine,france,44.20199,0.62055,34367.0,,agen MSA
9294,caen,normandy,france,49.18585,-0.35912,110624.0,,caen MSA
9295,limoges,nouvelle aquitaine,france,45.83362,1.24759,141176.0,,limoges MSA
9296,nogent sur marne,ile de france,france,48.83669,2.48255,31236.0,,saint denis MSA
9297,bourges,centre,france,47.08333,2.4,67987.0,,bourges MSA
9298,riorges,auvergne rhone alpes,france,46.04378,4.04255,10763.0,,roanne MSA
9299,nantes,pays de la loire,france,47.21725,-1.55336,277269.0,,nantes MSA
9300,la defense,ile de france,france,48.89198,2.23881,20000.0,,cergy pontoise MSA
9301,saint etienne,auvergne rhone alpes,france,45.43389,4.39,176280.0,,lyon MSA
9302,saint nazaire,pays de la loire,france,47.27506,-2.2179,67054.0,,nantes MSA
9303,dijon,bourgogne franche comte,france,47.31667,5.01667,149782.0,,dijon-besancon MSA
9304,besancon,bourgogne franche comte,france,47.24878,6.01815,128426.0,,dijon-besancon MSA
9305,niort,nouvelle aquitaine,france,46.32313,-0.45877,54660.0,,niort-angouleme MSA
9306,merignac,nouvelle aquitaine,france,44.84247,-0.64512,69791.0,,bordeaux MSA
9307,orleans,centre,france,47.90289,1.90389,124149.0,,orleans MSA
9308,bobigny,ile de france,france,48.90982,2.45012,44962.0,,saint denis MSA
9309,arles,provence alpes cote d azur,france,43.67681,4.63031,53431.0,,nimes MSA
9310,laval,pays de la loire,france,48.07247,-0.77019,50489.0,,laval MSA
9311,seclin,hauts de france,france,50.54873,3.02731,12214.0,,lille MSA
9312,saint ouen,ile de france,france,48.90654,2.33339,39353.0,,saint denis MSA
9313,marseille,provence alpes cote d azur,france,43.29695,5.38107,794811.0,,marseille MSA
9314,colombes,ile de france,france,48.91882,2.25404,82300.0,,cergy pontoise MSA
9315,bois guillaume,normandy,france,49.4602,1.12219,13711.0,,rouen MSA
9316,montauban,occitanie,france,44.01759,1.3542,52434.0,,toulouse MSA
9317,perpignan,occitanie,france,42.69764,2.89541,110706.0,,perpignan MSA
9318,valenciennes,hauts de france,france,50.35909,3.52506,44821.0,,lille MSA
9319,montpellier,occitanie,france,43.61093,3.87635,248252.0,,montpellier MSA
9320,toulouse,occitanie,france,43.60426,1.44367,433055.0,,toulouse MSA
9321,angouleme,nouvelle aquitaine,france,45.64997,0.15345,49468.0,,niort-angouleme MSA
9322,lille,hauts de france,france,50.63297,3.05858,228328.0,,lille MSA
9323,boulogne billancourt,ile de france,france,48.83545,2.24128,108782.0,,cergy pontoise MSA
9324,nanterre,ile de france,france,48.89198,2.20675,86719.0,,cergy pontoise MSA
9325,mulhouse,grand est,france,47.75205,7.32866,111430.0,,mulhouse MSA
9326,amiens,hauts de france,france,49.9,2.3,143086.0,,amiens MSA
9327,neuilly sur seine,ile de france,france,48.8846,2.26965,61300.0,,cergy pontoise MSA
9328,stains,ile de france,france,48.95,2.38333,32601.0,,saint denis MSA
9329,cahors,occitanie,france,44.4491,1.43663,23331.0,,toulouse MSA
9330,peronne,hauts de france,france,49.93218,2.9363,9011.0,,amiens MSA
9331,thiais,ile de france,france,48.76496,2.3961,29724.0,,saint denis MSA
9332,puget sur argens,provence alpes cote d azur,france,43.45576,6.68519,6943.0,,toulon MSA
9333,cenon,nouvelle aquitaine,france,44.85614,-0.53355,22393.0,,bordeaux MSA
9334,villejuif,ile de france,france,48.7939,2.35992,48048.0,,saint denis MSA
9335,dombasle sur meurthe,grand est,france,48.61861,6.35538,9256.0,,nancy MSA
9336,guyancourt,ile de france,france,48.77334,2.07393,31989.0,,saint quentin en yvelines MSA
9337,pont du chateau,auvergne rhone alpes,france,45.7983,3.24839,9474.0,,clermont ferrand MSA
9338,surgeres,nouvelle aquitaine,france,46.10809,-0.7514,5888.0,,la rochelle MSA
9339,briey,grand est,france,49.2492,5.93975,5200.0,,metz MSA
9340,villecresnes,ile de france,france,48.72002,2.5394,8978.0,,saint denis MSA
9341,franconville,ile de france,france,48.98333,2.23333,34284.0,,cergy pontoise MSA
9342,chilly mazarin,ile de france,france,48.71489,2.31638,18870.0,,saint denis MSA
9343,chemille melay,pays de la loire,france,47.21476,-0.72488,6683.0,,cholet MSA
9344,landivisiau,brittany,france,48.50906,-4.06906,8747.0,,brest MSA
9345,marly,grand est,france,49.06382,6.15427,10997.0,,metz MSA
9346,chambourcy,ile de france,france,48.90655,2.041,5372.0,,cergy pontoise MSA
9347,villefranche de rouergue,occitanie,france,44.35166,2.03702,14030.0,,albi MSA
9348,pont sainte marie,grand est,france,48.31848,4.09447,5161.0,,troyes MSA
9349,lodeve,occitanie,france,43.73178,3.31959,7515.0,,montpellier MSA
9350,montesson,ile de france,france,48.90924,2.13754,15256.0,,cergy pontoise MSA
9351,lancon provence,provence alpes cote d azur,france,43.59266,5.12789,7031.0,,marseille MSA
9352,gap,provence alpes cote d azur,france,44.55858,6.07868,42715.0,,gap MSA
9353,portet sur garonne,occitanie,france,43.52317,1.40511,9794.0,,toulouse MSA
9354,etampes,ile de france,france,48.43507,2.16233,23012.0,,saint quentin en yvelines MSA
9355,noyon,hauts de france,france,49.58333,3.0,15138.0,,amiens MSA
9356,avallon,bourgogne franche comte,france,47.49002,3.90832,8740.0,,auxerre MSA
9357,fosses,ile de france,france,49.09808,2.50957,10543.0,,saint denis MSA
9358,saint germain les arpajon,ile de france,france,48.59733,2.26481,8695.0,,saint quentin en yvelines MSA
9359,trith saint leger,hauts de france,france,50.31667,3.48333,6357.0,,lille MSA
9360,muret,occitanie,france,43.45998,1.32541,24313.0,,toulouse MSA
9361,epinay sous senart,ile de france,france,48.6897,2.51186,12826.0,,saint denis MSA
9362,epinay sur orge,ile de france,france,48.67338,2.31074,9507.0,,saint denis MSA
9363,castelnau le lez,occitanie,france,43.63605,3.90137,18011.0,,montpellier MSA
9364,meru,hauts de france,france,49.23333,2.13333,13528.0,,cergy pontoise MSA
9365,les mureaux,ile de france,france,48.99173,1.90972,32134.0,,cergy pontoise MSA
9366,saint genis laval,auvergne rhone alpes,france,45.69542,4.79316,20883.0,,lyon MSA
9367,valenton,ile de france,france,48.74527,2.46467,11969.0,,saint denis MSA
9368,eysines,nouvelle aquitaine,france,44.88442,-0.65141,21394.0,,bordeaux MSA
9369,saint etienne du rouvray,normandy,france,49.37794,1.10467,28953.0,,rouen MSA
9370,saint berthevin,pays de la loire,france,48.06922,-0.82612,6887.0,,laval MSA
9371,bouc bel air,provence alpes cote d azur,france,43.45217,5.413,13184.0,,marseille MSA
9372,saint egreve,auvergne rhone alpes,france,45.23313,5.68154,15904.0,,grenoble MSA
